Routing Function,0.01,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.23,0.25,0.27,0.29,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69
dor,26.8487,26.886,27.0241,27.2365,27.2155,27.1362,27.3502,27.5731,27.6636,27.6987,27.927,28.1723,28.2297,28.579,28.7722,29.4873,29.9271,30.7424,32.2624,35.3306,73.2366,261.758,,,,,,,,,,,,,
min_adapt,27.5477,29.1365,31.1844,33.1612,34.5241,35.0602,35.6365,35.7805,35.6439,35.5756,35.4899,35.445,35.4614,35.4352,35.5079,35.9201,36.307,36.9447,38.3846,40.8211,69.6325,,,,,,,,,,,,,,
odd_even,26.8509,26.9052,27.0757,27.3355,27.3665,27.3504,27.6589,28.012,28.2228,28.422,28.911,29.4265,29.8582,30.7086,31.7294,58.2905,,,,,,,,,,,,,,,,,,,
custom_turn_local,26.8509,26.9052,27.0746,27.3353,27.3518,27.3496,27.6472,28.0099,28.2136,28.432,28.8811,29.3804,29.7636,30.6682,31.4375,33.9919,37.365,416.854,,,,,,,,,,,,,,,,,
custom__turn_global,26.8509,26.9052,27.0762,27.3367,27.3569,27.3493,27.6567,28.0107,28.23,28.4293,28.9111,29.4214,29.8314,30.7438,31.8152,40.7059,,,,,,,,,,,,,,,,,,,
custom_min_adaptive,27.5477,29.1365,31.1844,33.1612,34.5241,35.0602,35.6365,35.7805,35.6439,35.5756,35.4899,35.445,35.4614,35.4352,35.5079,35.9201,36.307,36.9447,38.3846,40.8211,69.6325,,,,,,,,,,,,,,
custom_min_adaptive_local,27.5086,28.9473,30.3649,31.679,32.9099,33.8374,34.7507,34.9152,35.3043,35.2226,35.2054,35.1506,35.1661,35.3496,35.3454,35.8952,36.1324,36.6381,37.9056,40.3728,50.4761,284.459,,,,,,,,,,,,,
custom_min_adaptive_global,27.5477,29.1365,31.0774,33.2918,34.4281,34.8128,35.5066,35.7098,35.8417,35.7085,35.4977,35.6216,35.369,35.3589,35.5336,36.0332,36.2297,36.9135,38.4839,40.7294,47.6986,268.148,,,,,,,,,,,,,

